Nombre,Apellido,Fecha,Celular,ID,Correo,ListaNegra,PrePensionado,InstitucionPublica,NombreInstitucion,ObservacionesDisciplinarias,TieneFamiliaPolicia,TieneHijosInpec,Condecoracion,PaisNacimiento,CiudadNacimiento,CiudadResidencia,Edad,FechaNacimiento,FondoPension,SemanasCotizadas,FondoExtranjero,Caracterizacion
Chris,Henson,2010-01-02,515.688.5569,1818400864,lyonsjohn@example.net,2024-03-02,Sí,No,Policía,No,No,Sí,No,Colombia,PAICOL,FOSCA,28,1991-05-21,N/A,529,No,RECHAZADO
Wendy,Foley,2015-07-03,+1-248-780-2282,7833145844,stonescott@example.net,NULL,No,No,Inpec,No,No,No,Sí,Colombia,PUERTO ALEGRIA,SOLITA,20,1974-12-23,Protección,737,No,EMBARGADO
Tammy,Tapia,2011-11-06,001-495-503-4636x8042,7486563018,dixoncurtis@example.org,NULL,No,No,N/A,No,Sí,Sí,No,Colombia,SUAREZ,MONTELIBANO,42,1966-04-11,Protección,988,No,EMBARGADO
Julia,Garcia,2006-02-06,001-846-814-7501,3943345920,rebecca69@example.org,2022-03-24,Sí,No,Mininterior,Sí,Sí,Sí,Sí,Colombia,SAN DIEGO,RIONEGRO,36,1996-12-13,Old Mutual,361,Sí,RECHAZADO
Misty,Howe,2007-01-01,7836266781,6413854541,josephray@example.com,NULL,No,Sí,N/A,No,Sí,No,No,Eslovenia,no aplica,no aplica,58,1955-07-16,Colfondos,52,No,RECHAZADO
Maria,Swanson,2007-01-01,+1-605-882-0181x6778,2476845404,ericortega@example.net,NULL,Sí,Sí,Inpec,No,No,No,Sí,Colombia,CASTILLA LA NUEVA,San Pedro de los Milagros,20,1954-07-21,Colfondos,443,No,RECHAZADO
John,Mejia,2007-10-02,001-636-368-5102x786,2663898472,fchambers@example.com,NULL,Sí,Sí,Mininterior,Sí,No,Sí,No,Colombia,San Carlos,BOJAYA,34,1961-12-28,Colfondos,501,Sí,RECHAZADO
Luis,Johnson,2016-04-21,(899)794-6499,3486647823,erinmarshall@example.com,2023-04-10,No,No,Inpec,Sí,No,Sí,No,Colombia,BECERRIL,PIJAO,38,1977-01-05,Old Mutual,769,No,EMBARGADO
Courtney,Palmer,2013-11-20,373.422.7192x03107,3136806888,combscynthia@example.net,2023-06-13,Sí,No,Armada,Sí,Sí,Sí,Sí,Colombia,ZONA BANANERA,VILLA DE LEYVA,28,1993-07-30,Protección,122,Sí,RECHAZADO
Jessica,Berry,2003-07-02,(212)728-0665x6853,2588719099,janetkeller@example.org,2022-05-05,No,No,Inpec,No,Sí,Sí,No,Colombia,PIVIJAY,PEDRAZA,36,1982-04-28,Protección,799,No,EMBARGADO
Sara,Whitaker,2009-03-11,588.356.6509x108,36635262,ijenkins@example.com,2024-08-01,No,Sí,N/A,Sí,No,Sí,No,Colombia,TIBU,SAN ANDRES SOTAVENTO,22,1984-04-16,Provenir,906,Sí,RECHAZADO
Kim,Hill,2019-07-05,526.342.2656x59877,7977718130,williamsjoel@example.net,2020-08-21,No,No,Armada,No,No,Sí,No,Colombia,INZA,FUNZA,37,1955-09-04,Colfondos,777,No,EMBARGADO
Patricia,Ware,2020-06-02,4715517114,6489728073,richard75@example.org,NULL,Sí,No,Armada,Sí,Sí,Sí,No,Colombia,RIO QUITO,TOTA,62,1988-11-10,N/A,656,Sí,RECHAZADO
Joseph,Myers,2017-07-13,937-476-4808x7525,9798293252,hesskaren@example.net,2019-11-25,No,Sí,Armada,No,Sí,Sí,Sí,Colombia,ANZOATEGUI,Ca�asgordas,26,1980-10-30,Provenir,449,Sí,APROBADO
Brooke,Cox,2021-02-05,547.278.8668,3969932491,williamskristi@example.net,NULL,No,Sí,Policía,Sí,No,Sí,No,Colombia,PUERTO COLOMBIA,GENOVA,61,1966-01-08,Colfondos,930,No,APROBADO
