Nombre,Apellido,Fecha,Celular,ID,Correo,ListaNegra,PrePensionado,InstitucionPublica,NombreInstitucion,ObservacionesDisciplinarias,TieneFamiliaPolicia,TieneHijosInpec,Condecoracion,PaisNacimiento,CiudadNacimiento,CiudadResidencia,Edad,FechaNacimiento,FondoPension,SemanasCotizadas,FondoExtranjero,Caracterizacion
Nayeli,Valverde,2024-05-17,847.202.8401,527234657,munizolivia@example.com,Sí,Sí,No,,Sí,No,No,Sí,Malawi,San Cornelio los altos,Vieja Mónaco,93,1947-12-21,Bienestar,768,Sí,APROBADO
Benito,Pedroza,2024-11-13,1-927-214-8162,998537033,elsaleon@example.com,No,No,No,,Sí,Sí,No,Sí,Malawi,San Ana María los altos,San Violeta los altos,94,1946-03-20,Provenir,647,No,NULL
Benjamín,Sarabia,2024-01-05,(435)518-1582,719378872,montalvojuan@example.com,No,Sí,Sí,"de Jesús, Terán y Valadez",Sí,Sí,No,Sí,Cabo Verde,San Karla de la Montaña,Vieja Haití,75,1956-05-07,Futuro,1145,No,APROBADO
Irma,Carrión,2024-03-25,496-633-0718x6775,674793988,josenoriega@example.com,No,No,No,,Sí,No,No,No,Mali,San Felipe de la Montaña,San José María de la Montaña,95,1928-03-17,Bienestar,998,No,NULL
Salma,Zepeda,2024-05-23,1-618-964-3945x468,137876069,munozfrancisco@example.com,Sí,No,Sí,Alvarez-Vela e Hijos,No,Sí,No,Sí,Letonia,Nueva Djibouti,San Barbara los bajos,72,1982-12-23,Futuro,1180,Sí,INHABILITADO
Victoria,Villarreal,2024-06-21,1-916-075-2589x31105,812618209,munizluis-manuel@example.net,No,No,No,,Sí,Sí,No,No,Santa Lucía,San Joaquín los altos,Vieja Benin,60,2001-09-08,Bienestar,711,Sí,EMBARGADO
Estela,Bueno,2024-02-07,022.645.7892x6477,131553747,ignacio49@example.org,Sí,Sí,Sí,Proyectos Patiño y Escamilla,Sí,Sí,No,No,Congo,San Liliana los bajos,San Ariadna los bajos,27,2006-02-08,Provenir,829,No,EMBARGADO
Porfirio,Armendáriz,2024-09-02,06250510113,558287599,penagenaro@example.com,Sí,No,Sí,Corporacin Concepción-Ibarra,Sí,No,No,No,Nicaragua,San Reynaldo los altos,Vieja Polonia,92,1970-12-25,Futuro,654,Sí,NULL
Esparta,Segovia,2024-11-02,(745)255-3923,567791231,espinalwilfrido@example.net,Sí,Sí,Sí,"Laboratorios Espino, Salcido y Jimínez",Sí,No,Sí,Sí,Noruega,San Diego los altos,San Blanca los altos,56,1942-11-05,Futuro,309,Sí,NULL
Aldo,Ledesma,2024-09-04,05717268361,305336518,lermasoledad@example.com,No,Sí,No,,No,No,Sí,No,San Marino,Vieja Italia,Nueva Argelia,31,1924-12-18,Futuro,782,No,APROBADO
Timoteo,Ruiz,2024-07-04,03063865748,924003503,josrobles@example.org,Sí,No,No,,No,No,Sí,No,Bulgaria,San Estefanía de la Montaña,Nueva República Árabe Siria,58,1976-03-03,Bienestar,1290,Sí,NULL
Hugo,Quintero,2024-07-23,598-298-5160x34701,216320534,jrodrigez@example.org,No,Sí,No,,No,No,No,Sí,Argentina,San Nadia los altos,Vieja Grecia,52,1976-11-24,Provenir,278,Sí,INHABILITADO
Gustavo,Cedillo,2024-02-07,479.411.6364,165551392,fajardoirene@example.org,No,Sí,Sí,"Romero, Sauceda y Serna",Sí,No,No,Sí,Serbia,Vieja Mongolia,Vieja Croacia,49,1986-09-13,Bienestar,936,Sí,APROBADO
Jerónimo,Castillo,2024-11-10,09877893751,914800964,aguayoantonia@example.com,Sí,Sí,Sí,Ruelas A.C.,No,No,No,No,India,San Reina los bajos,Vieja Barbados,22,1927-07-05,Provenir,515,Sí,RECHAZADO
Catalina,Murillo,2024-08-05,299-597-0231x02832,480959461,raquelgamez@example.net,Sí,Sí,Sí,Escamilla-Figueroa e Hijos,Sí,Sí,No,No,Dinamarca,Nueva Honduras,Nueva Chile,38,1996-03-16,Provenir,55,No,RECHAZADO
Francisca,Almaraz,2024-06-10,1-218-474-1184,372161450,jorgelongoria@example.net,No,Sí,No,,Sí,No,Sí,No,Camerún,Nueva Micronesia,San Óliver los bajos,71,1966-01-29,Bienestar,778,Sí,RECHAZADO
Berta,Saucedo,2024-09-09,978.201.1870x5982,797234350,antonio99@example.org,No,No,Sí,Proyectos Mascareñas y Viera,No,Sí,No,Sí,Argentina,San Juan Carlos de la Montaña,San Patricio los bajos,95,1942-09-04,Futuro,882,Sí,INHABILITADO
Ilse,Nájera,2024-10-16,1-143-855-7154,996436445,regaladoarcelia@example.com,Sí,Sí,Sí,"Despacho Castellanos, Berríos y Morales",No,No,Sí,Sí,San Marino,San Claudia los bajos,San Ana Luisa los bajos,65,2002-01-14,Futuro,761,Sí,EMBARGADO
Ernesto,Barrientos,2024-06-21,126.373.5856x101,892959911,georginaramos@example.net,No,No,No,,Sí,No,Sí,Sí,Hungría,Nueva Bélgica,San Adán los altos,95,1943-09-23,Provenir,237,No,APROBADO
Aurelio,Almonte,2024-01-24,(547)825-0246x1664,364785102,alfredobeltran@example.com,No,Sí,No,,No,Sí,No,No,Afganistán,San Ivonne los bajos,Nueva Sudáfrica,44,1936-10-17,Futuro,262,No,INHABILITADO
Hernán,Sanches,2024-02-28,+67(5)7048593637,763863224,marco-antonio25@example.org,Sí,No,No,,No,No,Sí,No,Ucrania,Vieja Kuwait,San Alonso de la Montaña,39,1958-05-28,Bienestar,501,No,EMBARGADO
Yeni,Ochoa,2024-04-05,(117)499-7955x293,627033279,colungaestela@example.net,No,No,Sí,Mateo y Samaniego A.C.,No,Sí,Sí,No,Bangladesh,San Guadalupe los altos,San Rufino de la Montaña,79,1972-10-08,Provenir,27,No,RECHAZADO
