Nombre,Apellido,Fecha,Celular,ID,Correo,ListaNegra,PrePensionado,InstitucionPublica,NombreInstitucion,ObservacionesDisciplinarias,TieneFamiliaPolicia,TieneHijosInpec,Condecoracion,PaisNacimiento,CiudadNacimiento,CiudadResidencia,Edad,FechaNacimiento,FondoPension,SemanasCotizadas,FondoExtranjero,Caracterizacion
Miguel,Hernández,1962-03-27,3005291955,771179679,miguel.hernández@example.com,Sí,Sí,Sí,ICBF,No,Sí,Sí,No,Colombia,Barranquilla,Bogotá,62,1962-02-06,Colpensiones,78,No,RECHAZADO
Ana,Pérez,1990-03-28,3002756603,268574008,ana.pérez@example.com,Sí,No,No,Mininterior,Sí,No,Sí,No,Colombia,Cali,Cartagena,26,1998-02-23,FondoPrivado,12,No,RECHAZADO
María,Hernández,2021-08-11,3007133077,580361133,maría.hernández@example.com,No,Sí,No,Mininterior,No,No,No,No,Colombia,Medellín,Barranquilla,41,1983-01-14,FondoPrivado,748,No,RECHAZADO
Juan,López,1966-01-17,3003839986,777508940,juan.lópez@example.com,Sí,No,No,ICBF,No,No,Sí,Sí,Colombia,Cartagena,Cartagena,30,1994-02-27,FondoPrivado,138,No,RECHAZADO
Juan,Ramírez,2014-09-08,3008724793,976302125,juan.ramírez@example.com,Sí,Sí,No,Mininterior,No,Sí,No,No,Colombia,Barranquilla,Barranquilla,30,1994-11-07,Colpensiones,46,No,RECHAZADO
María,Martínez,2005-04-22,3004937109,887125452,maría.martínez@example.com,No,Sí,No,Ministerio de Educación,No,Sí,Sí,Sí,Colombia,Bucaramanga,Barranquilla,41,1983-03-26,Provenir,401,Sí,RECHAZADO
Juan,López,1993-01-03,3001629402,753168732,juan.lópez@example.com,No,Sí,No,Secretaría de Salud,No,Sí,No,Sí,Colombia,Medellín,Bogotá,27,1997-08-12,Colpensiones,245,No,RECHAZADO
Carlos,Gómez,1984-09-08,3004427612,153380114,carlos.gómez@example.com,Sí,No,Sí,Mininterior,No,Sí,No,Sí,Colombia,Bucaramanga,Medellín,70,1954-11-21,Provenir,66,Sí,RECHAZADO
Ana,Rodríguez,1977-05-05,3009267685,438644510,ana.rodríguez@example.com,No,Sí,Sí,Ministerio de Educación,No,No,Sí,Sí,Colombia,Medellín,Medellín,63,1961-02-17,Colpensiones,542,No,RECHAZADO
Ana,López,2003-01-10,3007391520,347459523,ana.lópez@example.com,Sí,No,Sí,Mininterior,No,Sí,Sí,Sí,Colombia,Barranquilla,Barranquilla,25,1999-05-12,Provenir,464,No,RECHAZADO
Sofía,Hernández,2006-09-25,3001290791,618847371,sofía.hernández@example.com,Sí,Sí,No,ICBF,Sí,Sí,No,No,Colombia,Cartagena,Bogotá,59,1965-12-11,Provenir,347,Sí,RECHAZADO
Juan,Gómez,1954-11-02,3005103347,993165723,juan.gómez@example.com,No,Sí,No,Ministerio de Educación,No,No,Sí,No,Colombia,Bogotá,Bogotá,75,1949-01-26,FondoPrivado,667,No,RECHAZADO
Camila,Rodríguez,1979-05-15,3006630184,744698669,camila.rodríguez@example.com,No,Sí,No,ICBF,Sí,Sí,Sí,Sí,Colombia,Bucaramanga,Cali,21,2003-03-03,Provenir,742,No,RECHAZADO
Carlos,García,1969-04-28,3003684674,426909364,carlos.garcía@example.com,No,No,No,Mininterior,Sí,Sí,Sí,No,Colombia,Medellín,Barranquilla,53,1971-05-25,Provenir,181,No,APROBADO
Sofía,García,1994-11-23,3004858882,448136718,sofía.garcía@example.com,Sí,Sí,Sí,Mininterior,No,Sí,Sí,No,Colombia,Cali,Medellín,45,1979-11-17,FondoPrivado,691,Sí,RECHAZADO
Sofía,Ramírez,1971-11-27,3004233534,278862997,sofía.ramírez@example.com,Sí,No,No,Ministerio de Educación,No,Sí,Sí,Sí,Colombia,Bucaramanga,Cali,40,1984-09-03,FondoPrivado,716,Sí,RECHAZADO
María,Pérez,2004-10-26,3003931321,991896442,maría.pérez@example.com,Sí,No,No,Secretaría de Salud,No,Sí,Sí,Sí,Colombia,Medellín,Barranquilla,55,1969-07-22,Provenir,361,Sí,RECHAZADO
Sofía,López,1950-07-10,3004218339,744152591,sofía.lópez@example.com,No,Sí,Sí,Ministerio de Educación,Sí,No,Sí,Sí,Colombia,Barranquilla,Medellín,72,1952-11-24,Colpensiones,593,Sí,RECHAZADO
Ana,Rodríguez,2017-08-20,3004448411,722542553,ana.rodríguez@example.com,No,Sí,No,Ministerio de Educación,No,No,No,Sí,Colombia,Cartagena,Cartagena,77,1947-05-11,FondoPrivado,538,No,RECHAZADO
Ana,Hernández,2001-07-03,3007666744,289004283,ana.hernández@example.com,Sí,Sí,Sí,Mininterior,No,Sí,Sí,Sí,Colombia,Cali,Cali,19,2005-01-11,FondoPrivado,478,Sí,RECHAZADO
Camila,Martínez,1955-02-25,3008253307,971918438,camila.martínez@example.com,Sí,No,Sí,Ministerio de Educación,No,No,No,No,Colombia,Bucaramanga,Cali,62,1962-09-27,FondoPrivado,542,No,RECHAZADO
Carlos,Gómez,2001-03-01,3001027151,288856375,carlos.gómez@example.com,Sí,No,Sí,Secretaría de Salud,Sí,No,No,No,Colombia,Bogotá,Bucaramanga,77,1947-02-21,FondoPrivado,452,No,RECHAZADO
Miguel,Gómez,2003-11-12,3002661163,195712742,miguel.gómez@example.com,Sí,Sí,Sí,Ministerio de Educación,No,Sí,No,Sí,Colombia,Cartagena,Medellín,42,1982-09-08,Colpensiones,710,Sí,RECHAZADO
